lspcid	name	members
2891	8-oxatricyclo[7.4.0.0,2,7]trideca-1(9),2(7),3,5,10,12-hexaen-5-amine	CHEMBL:CHEMBL1503907|CHEMBL:CHEMBL1622337
2892	PHENYL BIGUANIDE	CAS:102-02-3|CHEBI:CHEBI:75377|CHEMBL:CHEMBL13791|CHEMBL:CHEMBL1569955|CHEMBL:CHEMBL3039205|PUBCHEM:4780
2925	VERATRIC ACID	CAS:93-07-2|CHEBI:CHEBI:296881|CHEMBL:CHEMBL118903|HMDB:HMDB0059763|HMS-LINCS:11337|PUBCHEM:7121
2932	2-aminocyclohex-3-ene-1-carboxylic acid hydrochloride	CHEMBL:CHEMBL1193036|CHEMBL:CHEMBL138407|CHEMBL:CHEMBL141917|CHEMBL:CHEMBL544376
2935	1,8-Di(2-Isoquinoliniumyl)Octane With Diiodide Ions	CHEMBL:CHEMBL104265|CHEMBL:CHEMBL1179911|CHEMBL:CHEMBL1669486
2938	S-(4-Fluorobenzyl)Isothiourea HCl	CHEMBL:CHEMBL1224313|CHEMBL:CHEMBL1229098
2953	O-[(2-methoxyphenyl)methyl]hydroxylamine	CHEMBL:CHEMBL3763210|CHEMBL:CHEMBL3765984
2954	Methyl Alpha-D-Mannoside	CAS:1824-94-8|CAS:25281-48-5|CAS:3396-99-4|CAS:709-50-2|CAS:97-30-3|CHEBI:CHEBI:17540|CHEBI:CHEBI:320055|CHEBI:CHEBI:320061|CHEBI:CHEBI:37656|CHEBI:CHEBI:43943|CHEBI:CHEBI:55507|CHEMBL:CHEMBL131853|CHEMBL:CHEMBL132186|CHEMBL:CHEMBL195368|CHEMBL:CHEMBL320214|CHEMBL:CHEMBL3590182|CHEMBL:CHEMBL3680808|CHEMBL:CHEMBL4092006|CHEMBL:CHEMBL4117365|CHEMBL:CHEMBL442951|CHEMBL:CHEMBL467773|CHEMBL:CHEMBL502337|DRUGBANK:DB01642|DRUGBANK:DB01979|DRUGBANK:DB02100|DRUGBANK:DB04046|HMDB:HMDB0029965|PUBCHEM:101798|PUBCHEM:445238|PUBCHEM:6420200|PUBCHEM:64947|PUBCHEM:76935|PUBCHEM:94214
2974	IMIPRAMINE	CAS:113-52-0|CAS:130-85-8|CAS:132539-06-1|CAS:152-53-4|CAS:15686-83-6|CAS:22204-24-6|CAS:479-73-2|CAS:50-49-7|CAS:516-21-2|CAS:569-61-9|CAS:609-78-9|CHEBI:CHEBI:135029|CHEBI:CHEBI:4003|CHEBI:CHEBI:47499|CHEBI:CHEBI:50186|CHEBI:CHEBI:5882|CHEBI:CHEBI:75372|CHEBI:CHEBI:7735|CHEBI:CHEBI:79772|CHEBI:CHEBI:82303|CHEBI:CHEBI:8654|CHEBI:CHEBI:8655|CHEMBL:CHEMBL11|CHEMBL:CHEMBL1368322|CHEMBL:CHEMBL1517986|CHEMBL:CHEMBL1585303|CHEMBL:CHEMBL1599768|CHEMBL:CHEMBL1609459|CHEMBL:CHEMBL1625694|CHEMBL:CHEMBL1692|CHEMBL:CHEMBL177880|CHEMBL:CHEMBL2062345|CHEMBL:CHEMBL2105309|CHEMBL:CHEMBL2105884|CHEMBL:CHEMBL2219658|CHEMBL:CHEMBL3187835|CHEMBL:CHEMBL3301743|CHEMBL:CHEMBL3392244|CHEMBL:CHEMBL3989694|CHEMBL:CHEMBL3989825|CHEMBL:CHEMBL3989845|CHEMBL:CHEMBL491772|CHEMBL:CHEMBL544227|CHEMBL:CHEMBL588912|CHEMBL:CHEMBL715|CHEMBL:CHEMBL747|DRUGBANK:DB00334|DRUGBANK:DB00458|DRUGBANK:DB11156|DRUGBANK:DB14763|HMDB:HMDB0001848|HMDB:HMDB0005012|HMDB:HMDB0060974|HMS-LINCS:11507|HMS-LINCS:12038|HMS-LINCS:12095|MESH:D000077152|MESH:D007099|MESH:D011715|MESH:D011716|PUBCHEM:11292|PUBCHEM:11293|PUBCHEM:135398745|PUBCHEM:15893898|PUBCHEM:3696|PUBCHEM:443381|PUBCHEM:5281033|PUBCHEM:708857|PUBCHEM:8546|PUBCHEM:9048|PUBCHEM:9049
2978	MUSCARINE	CAS:300-54-9|CHEBI:CHEBI:7034|CHEMBL:CHEMBL105471|CHEMBL:CHEMBL116600|CHEMBL:CHEMBL1180201|CHEMBL:CHEMBL1255785|CHEMBL:CHEMBL12587|CHEMBL:CHEMBL1871893|CHEMBL:CHEMBL292911|CHEMBL:CHEMBL301699|CHEMBL:CHEMBL3186039|CHEMBL:CHEMBL404094|MESH:D009116|PUBCHEM:9308
3000	D-Erythrose 4-Phosphate	CAS:585-18-2|CHEBI:CHEBI:48153|CHEMBL:CHEMBL1232448|CHEMBL:CHEMBL75612|DRUGBANK:DB03937|HMDB:HMDB0001321|PUBCHEM:122357
3001	4-(2-Nitrovinyl)Phenol	CHEMBL:CHEMBL307481|CHEMBL:CHEMBL3905482
3011	2,3-dihydro-1H-indole-2-carboxylic acid	CHEMBL:CHEMBL1423103|CHEMBL:CHEMBL23081
3035	2-(4-phenylphenyl)propanoic acid	CHEMBL:CHEMBL138218|CHEMBL:CHEMBL317434
3036	MITOGUAZONE	CAS:459-86-9|CHEBI:CHEBI:43996|CHEMBL:CHEMBL191400|CHEMBL:CHEMBL1995011|CHEMBL:CHEMBL216913|DRUGBANK:DB12967|MESH:D008935|PUBCHEM:5351154
3044	4-Chlorobenzyl Carbamimidothioate	CHEMBL:CHEMBL1224312|CHEMBL:CHEMBL1229097
3045	S-(4-Ethylbenzyl)Isothiourea HCl	CHEMBL:CHEMBL1224390|CHEMBL:CHEMBL1229101
3061	VARENICLINE	CAS:249296-44-4|CAS:375815-87-5|CHEBI:CHEBI:84500|CHEBI:CHEBI:84507|CHEMBL:CHEMBL1076903|CHEMBL:CHEMBL1201135|CHEMBL:CHEMBL1396|CHEMBL:CHEMBL2062259|CHEMBL:CHEMBL2358534|CHEMBL:CHEMBL556954|DRUGBANK:DB01273|HMDB:HMDB0015398|HMS-LINCS:11935|MESH:D000068580|PUBCHEM:5310966|PUBCHEM:9906942
3062	OLEAMIDE	CAS:301-02-0|CHEBI:CHEBI:116314|CHEBI:CHEBI:146170|CHEBI:CHEBI:165592|CHEMBL:CHEMBL15927|CHEMBL:CHEMBL86554|CHEMBL:CHEMBL90281|DRUGBANK:DB03784|HMDB:HMDB0002117|PUBCHEM:44322013|PUBCHEM:5283387|PUBCHEM:5353370
3064	PENTAMIDINE	CAS:100-33-4|CHEBI:CHEBI:45081|CHEMBL:CHEMBL361506|CHEMBL:CHEMBL3856148|CHEMBL:CHEMBL494163|CHEMBL:CHEMBL543544|CHEMBL:CHEMBL935|DRUGBANK:DB00738|HMDB:HMDB0014876|HMS-LINCS:11637|MESH:D010419|PUBCHEM:4735
3066	3,5-dimethyl-1H-pyrazole-1-carboximidamide hydrochloride	CHEMBL:CHEMBL451397|CHEMBL:CHEMBL553974
3067	3-methyl-1H-pyrazole-1-carboximidamide hydrochloride	CHEMBL:CHEMBL459840|CHEMBL:CHEMBL554676
3084	ETILAMFETAMINE	CAS:457-87-4|CHEBI:CHEBI:134796|CHEMBL:CHEMBL1907646|CHEMBL:CHEMBL1976895|CHEMBL:CHEMBL276443|CHEMBL:CHEMBL3186978|CHEMBL:CHEMBL3301837|DRUGBANK:DB13285|PUBCHEM:9982
3098	2-Phosphonomethyl-Pentanedioic Acid	CHEMBL:CHEMBL189217|CHEMBL:CHEMBL191467|CHEMBL:CHEMBL47009
3103	1,9-Di(2-Isoquinoliniumyl)Nonane With Dibromide Ions	CHEMBL:CHEMBL104553|CHEMBL:CHEMBL1179920
3143	SAFINGOL	CAS:764-22-7|CHEBI:CHEBI:16566|CHEMBL:CHEMBL1442934|CHEMBL:CHEMBL1487948|CHEMBL:CHEMBL2107808|CHEMBL:CHEMBL448741|DRUGBANK:DB11924|HMDB:HMDB0000269|PUBCHEM:91486
3147	Petroselinic acid	CAS:593-39-5|CHEBI:CHEBI:28194|CHEMBL:CHEMBL3122152|CHEMBL:CHEMBL3139878|PUBCHEM:5281125
3159	N-[(3-{[(diaminomethylidene)amino]methyl}phenyl)methyl]guanidine dihydrochloride	CHEMBL:CHEMBL115850|CHEMBL:CHEMBL1180171
3186	trans-ACPD	CHEMBL:CHEMBL107845|CHEMBL:CHEMBL1435977|CHEMBL:CHEMBL1723593|CHEMBL:CHEMBL29726|CHEMBL:CHEMBL34453|CHEMBL:CHEMBL36988
3187	8-Br-Adenine	CHEMBL:CHEMBL1788326|CHEMBL:CHEMBL65747
3190	4-{[Amino(Imino)Methyl]Amino}Butyl Imidothiocarbamate Dihydrobromide	CHEMBL:CHEMBL1187950|CHEMBL:CHEMBL534498
3192	Gly-D-Val	CAS:1963-21-9|CHEBI:CHEBI:73897|CHEBI:CHEBI:73922|CHEMBL:CHEMBL1221713|CHEMBL:CHEMBL1221782|CHEMBL:CHEMBL56035|HMDB:HMDB0028854|PUBCHEM:2724807|PUBCHEM:6994697
3207	D-AP5	CAS:76326-31-3|CHEBI:CHEBI:138644|CHEMBL:CHEMBL28862|CHEMBL:CHEMBL71898|CHEMBL:CHEMBL84612|MESH:D015763|PUBCHEM:1216
3211	2-(4-Methoxyphenyl)Cyclopropanamine	CHEMBL:CHEMBL1795972|CHEMBL:CHEMBL1938899|CHEMBL:CHEMBL254970
3217	3-(2,2-dimethylhydrazin-1-yl)-1lambda6-thiolane-1,1-dione hydrochloride	CHEMBL:CHEMBL1537485|CHEMBL:CHEMBL1623423
3231	2-Fluoronorepinehprine	CHEBI:CHEBI:125398|CHEMBL:CHEMBL1255779|CHEMBL:CHEMBL1378659|CHEMBL:CHEMBL281232|CHEMBL:CHEMBL350076|CHEMBL:CHEMBL40317|CHEMBL:CHEMBL40593|PUBCHEM:1862
3238	ALVERINE	CAS:150-59-4|CHEBI:CHEBI:518413|CHEMBL:CHEMBL1408594|DRUGBANK:DB01616|HMDB:HMDB0015554|HMS-LINCS:11015|PUBCHEM:21718
3243	2-(pyridin-4-yl)-2,3-dihydro-1H-indene-1,3-dione	CHEMBL:CHEMBL1301287|CHEMBL:CHEMBL1333047
3260	O-[(3-chlorophenyl)methyl]hydroxylamine	CHEMBL:CHEMBL3765807|CHEMBL:CHEMBL3765916
3261	NORHARMANE	CAS:244-63-3|CHEBI:CHEBI:109895|CHEMBL:CHEMBL275224|HMDB:HMDB0012897|HMS-LINCS:10639|PUBCHEM:64961
3264	1,11-Di(1-Quinoliniumyl)Undecane With Dibromide Ions	CHEMBL:CHEMBL105257|CHEMBL:CHEMBL1179941
3267	ERUCIC ACID	CAS:1002-96-6|CAS:112-86-7|CHEBI:CHEBI:28792|CHEBI:CHEBI:32428|CHEMBL:CHEMBL1173380|CHEMBL:CHEMBL3103072|HMDB:HMDB0002068|HMDB:HMDB0002884|PUBCHEM:5281116|PUBCHEM:5282771
3278	Phenylhydantoin	CHEMBL:CHEMBL156406|CHEMBL:CHEMBL3274486
3282	ACESULFAME	CAS:33665-90-6|CHEBI:CHEBI:83501|CHEMBL:CHEMBL1351474|CHEMBL:CHEMBL176687|HMDB:HMDB0033585|HMS-LINCS:10909|PUBCHEM:36573
3287	1,11-Di(2-Isoquinoliniumyl)Undecane With Dibromide Ions	CHEMBL:CHEMBL104613|CHEMBL:CHEMBL1179921
3295	1,12-Di(2-Isoquinoliniumyl)Dodecane With Dibromide Ions	CHEMBL:CHEMBL105537|CHEMBL:CHEMBL1179949
3299	WEBERINE	CHEMBL:CHEMBL1195906|CHEMBL:CHEMBL555559
3301	4-AMINOETHYLBENZENESULFONYL FLUORIDE HYDROCHLORIDE	CHEMBL:CHEMBL1096339|CHEMBL:CHEMBL1256178|DRUGBANK:DB07347
3311	S-(4-Methylbenzyl)Isothiourea HCl	CHEMBL:CHEMBL1224315|CHEMBL:CHEMBL1229100
3312	ACEGLUMATE	CHEBI:CHEBI:17533|CHEMBL:CHEMBL1234751|CHEMBL:CHEMBL2142890|CHEMBL:CHEMBL3833347|DRUGBANK:DB04075|HMDB:HMDB0001138|PUBCHEM:70914
3325	3-[(2-Ammoniopropanoyl)Amino]Propanoate	CHEMBL:CHEMBL186269|CHEMBL:CHEMBL189696
3328	PHENYLETHYLISOTHIOUREAHYDROBROMIDE	CHEMBL:CHEMBL1077182|CHEMBL:CHEMBL483093
3329	3-HYDROXYBENZYLHYDRAZINE DIHYDROCHLORIDE	CHEBI:CHEBI:104133|CHEMBL:CHEMBL1213096|CHEMBL:CHEMBL1256625|CHEMBL:CHEMBL352205|PUBCHEM:1663
3340	O-[(2,4-difluorophenyl)methyl]hydroxylamine	CHEMBL:CHEMBL3765186|CHEMBL:CHEMBL3765999
3350	1,6-Di(2-Isoquinoliniumyl)Hexane With Diiodide Ions	CHEMBL:CHEMBL1183888|CHEMBL:CHEMBL1669484|CHEMBL:CHEMBL323144
3353	2-AMINOPURINE	CAS:452-06-2|CHEBI:CHEBI:479072|CHEMBL:CHEMBL1356616|CHEMBL:CHEMBL388594|MESH:D015075|PUBCHEM:9955
3363	OSTEOPROTEGERIN	CAS:506-24-1|CHEBI:CHEBI:28801|CHEMBL:CHEMBL2397332|CHEMBL:CHEMBL482804|PUBCHEM:68167
3376	1-Benzylpiperazine	CAS:2759-28-6|CHEBI:CHEBI:83537|CHEMBL:CHEMBL113600|CHEMBL:CHEMBL3188620|PUBCHEM:75994
3390	ALLOPURINOL	CAS:315-30-0|CHEBI:CHEBI:40279|CHEMBL:CHEMBL1200477|CHEMBL:CHEMBL1467|DRUGBANK:DB00437|HMDB:HMDB0014581|HMS-LINCS:11860|MESH:D000493|PUBCHEM:135401907
3404	HEXESTROL	CAS:5635-50-7|CHEBI:CHEBI:31669|CHEMBL:CHEMBL1795406|CHEMBL:CHEMBL6615|CHEMBL:CHEMBL9225|DRUGBANK:DB07931|HMS-LINCS:11081|MESH:D006589|PUBCHEM:3606
3405	DAPHNETIN	CAS:486-35-1|CHEBI:CHEBI:17313|CHEMBL:CHEMBL244948|HMDB:HMDB0130547|HMS-LINCS:11878|PUBCHEM:5280569
3439	Sodium 4-Ethyloctanoate	CHEMBL:CHEMBL1762649|CHEMBL:CHEMBL1789171
3453	4-ETHOXYBENZIMIDAMIDE HYDROCHLORIDE	CHEMBL:CHEMBL2286473|CHEMBL:CHEMBL3138975
3476	ONO-1714	CHEMBL:CHEMBL105792|CHEMBL:CHEMBL1800346
3489	2-(3-Aminophenyl)Acetic Acid HCl	CHEMBL:CHEMBL1188282|CHEMBL:CHEMBL535865
3523	TYRPHOSTIN 23	CHEBI:CHEBI:92862|CHEMBL:CHEMBL76904|HMS-LINCS:11618|PUBCHEM:2052
3543	DEOXIEPINEPHRINE	CAS:501-15-5|CHEBI:CHEBI:10554|CHEMBL:CHEMBL1256484|CHEMBL:CHEMBL31088|DRUGBANK:DB13917|PUBCHEM:4382
3545	LEVONORDEFRIN	CAS:6539-57-7|CAS:829-74-3|CHEBI:CHEBI:10304|CHEBI:CHEBI:81386|CHEMBL:CHEMBL1160982|CHEMBL:CHEMBL1256471|CHEMBL:CHEMBL1320902|CHEMBL:CHEMBL1612659|CHEMBL:CHEMBL677|CHEMBL:CHEMBL764|DRUGBANK:DB06707|HMDB:HMDB0015652|MESH:D008771|PUBCHEM:164739|PUBCHEM:3917
3590	4-(4-bromophenyl)-1,3-thiazol-2-amine	CHEMBL:CHEMBL1489205|CHEMBL:CHEMBL1622137
3592	HALAZONE	CHEMBL:CHEMBL1368146|CHEMBL:CHEMBL1762664
3609	PARGYLINE	CAS:555-57-7|CHEBI:CHEBI:7930|CHEMBL:CHEMBL1200425|CHEMBL:CHEMBL673|DRUGBANK:DB01626|MESH:D010293|PUBCHEM:4688
3611	2-amino-4-oxo-4-phenylbutanoic acid hydrochloride	CHEMBL:CHEMBL2040644|CHEMBL:CHEMBL315803
3620	rac-[(1R,2R)-2-(4-fluorophenyl)cyclopropyl]methanamine hydrochloride	CHEMBL:CHEMBL1187196|CHEMBL:CHEMBL493130
3653	SQ-14603	CHEMBL:CHEMBL58957|CHEMBL:CHEMBL90403|CHEMBL:CHEMBL91545|DRUGBANK:DB02953
3655	3-Aminomethyl-Benzoic Acid	CHEMBL:CHEMBL133384|CHEMBL:CHEMBL541141
3659	METHYLENE BLUE	CAS:61-73-4|CHEBI:CHEBI:43830|CHEBI:CHEBI:6872|CHEMBL:CHEMBL191083|CHEMBL:CHEMBL405110|CHEMBL:CHEMBL550495|DRUGBANK:DB08167|DRUGBANK:DB09241|MESH:D008751|PUBCHEM:4139|PUBCHEM:6099
3675	CAFFEIC ACID	CAS:501-16-6|CHEBI:CHEBI:16433|CHEMBL:CHEMBL3181904|DRUGBANK:DB01880|HMDB:HMDB0001964|HMS-LINCS:11782|PUBCHEM:689043
3680	PERHEXILINE	CAS:6621-47-2|CHEBI:CHEBI:35553|CHEMBL:CHEMBL1334033|CHEMBL:CHEMBL1592481|CHEMBL:CHEMBL4082420|CHEMBL:CHEMBL75880|DRUGBANK:DB01074|HMDB:HMDB0015207|HMS-LINCS:12046|MESH:D010480|PUBCHEM:4746
3690	2S,3R-Dihydroxybutyramide 4-Phosphate	CHEMBL:CHEMBL1161703|CHEMBL:CHEMBL323922
3699	DIPHENHYDRAMINE	CAS:147-24-0|CHEBI:CHEBI:4636|CHEBI:CHEBI:94848|CHEBI:CHEBI:95337|CHEMBL:CHEMBL1200406|CHEMBL:CHEMBL1201089|CHEMBL:CHEMBL1536197|CHEMBL:CHEMBL1620|CHEMBL:CHEMBL3707215|CHEMBL:CHEMBL3707341|DRUGBANK:DB00985|DRUGBANK:DB01075|DRUGBANK:DB13636|HMDB:HMDB0001927|HMS-LINCS:11125|MESH:D004155|PUBCHEM:10660|PUBCHEM:19039221|PUBCHEM:3100
3712	(R)-Alpha-Methylhistamine	CAS:6986-90-9|CAS:75614-87-8|CHEBI:CHEBI:125525|CHEBI:CHEBI:73337|CHEBI:CHEBI:74759|CHEMBL:CHEMBL116655|CHEMBL:CHEMBL11919|CHEMBL:CHEMBL1255657|CHEMBL:CHEMBL1434496|CHEMBL:CHEMBL268229|CHEMBL:CHEMBL3272587|PUBCHEM:156615|PUBCHEM:3615|PUBCHEM:6603865
3725	EFLORNITHINE	CAS:67037-37-0|CAS:96020-91-6|CHEBI:CHEBI:41948|CHEBI:CHEBI:4762|CHEMBL:CHEMBL1201037|CHEMBL:CHEMBL222838|CHEMBL:CHEMBL500575|CHEMBL:CHEMBL536971|DRUGBANK:DB03856|MESH:D000518|PUBCHEM:3009|PUBCHEM:441361
3726	2-(3-(Aminomethyl)Phenyl)Acetic Acid HCl	CHEMBL:CHEMBL1188226|CHEMBL:CHEMBL535643
3753	1-(3-chlorophenyl)propan-2-amine hydrochloride	CHEMBL:CHEMBL149022|CHEMBL:CHEMBL3298872
3759	3,4-Dichloroamphetamine	CHEMBL:CHEMBL1987806|CHEMBL:CHEMBL48888
3763	4,4'-(1,4-Phenylenebis(Methylene))Bis(Oxy)Dibenzimidamide	CHEMBL:CHEMBL3277918|CHEMBL:CHEMBL365916
3783	Nitrobenzyl-O-Hydroxylamine	CHEMBL:CHEMBL1213008|CHEMBL:CHEMBL3765123
3790	2-(3-bromophenyl)cyclopropan-1-amine hydrochloride	CHEMBL:CHEMBL1795975|CHEMBL:CHEMBL1852438
3808	6-Fluoronorepinehprine	CHEMBL:CHEMBL287587|CHEMBL:CHEMBL295072|CHEMBL:CHEMBL3251355|CHEMBL:CHEMBL40796
3820	Gly-DL-Thr	CAS:7093-70-1|CHEBI:CHEBI:73920|CHEMBL:CHEMBL1221619|CHEMBL:CHEMBL1221781|CHEMBL:CHEMBL420983|PUBCHEM:111257
3833	2,6-DIAMINOPURINE	CAS:1904-98-9|CHEBI:CHEBI:40235|CHEMBL:CHEMBL1741432|CHEMBL:CHEMBL1788357|CHEMBL:CHEMBL2097111|CHEMBL:CHEMBL388596|PUBCHEM:30976
3841	MPTP-hydrochloride	CAS:28289-54-5|CHEBI:CHEBI:17963|CHEMBL:CHEMBL168464|CHEMBL:CHEMBL24172|CHEMBL:CHEMBL41219|CHEMBL:CHEMBL455052|MESH:D015632|PUBCHEM:1388
3857	DNDI1416976	CHEBI:CHEBI:65133|CHEBI:CHEBI:72542|CHEMBL:CHEMBL1368428|CHEMBL:CHEMBL1617007|PUBCHEM:5333955|PUBCHEM:730769
3858	NSC-22225	CAS:115-28-6|CHEBI:CHEBI:76603|CHEMBL:CHEMBL1496721|CHEMBL:CHEMBL1906039|CHEMBL:CHEMBL462314|PUBCHEM:8266
3862	3-amino-3-(4-fluorophenyl)propanoic acid	CHEMBL:CHEMBL1387107|CHEMBL:CHEMBL1618942
3879	EDROPHONIUM	CAS:116-38-1|CHEBI:CHEBI:251408|CHEMBL:CHEMBL1128|CHEMBL:CHEMBL60745|DRUGBANK:DB01010|HMDB:HMDB0015145|MESH:D004491|PUBCHEM:3202
3899	TRIMEDOXIME	CHEMBL:CHEMBL3126006|CHEMBL:CHEMBL32778|CHEMBL:CHEMBL426113
3910	Ser-Gly	CAS:687-63-8|CHEBI:CHEBI:74814|CHEMBL:CHEMBL1329873|CHEMBL:CHEMBL1983422|CHEMBL:CHEMBL90610|HMDB:HMDB0029039|PUBCHEM:7009644
3911	NAPHTHALENE TRISULFONATE	CAS:86-66-8|CHEBI:CHEBI:32916|CHEMBL:CHEMBL1160117|CHEMBL:CHEMBL316894|PUBCHEM:4438
3913	4-Benzyloxy-Benzylamine	CHEMBL:CHEMBL146898|CHEMBL:CHEMBL3094316
3915	MIGLITOL	CAS:72432-03-2|CHEBI:CHEBI:6935|CHEMBL:CHEMBL1527329|CHEMBL:CHEMBL1561|DRUGBANK:DB00491|HMS-LINCS:11891|PUBCHEM:441314
3925	N-(4-Ethylphenyl)Guanidine	CHEMBL:CHEMBL1204396|CHEMBL:CHEMBL404605
3926	QUINOXALINE1	CHEBI:CHEBI:92540|CHEMBL:CHEMBL1240970|CHEMBL:CHEMBL259389|PUBCHEM:438981
3949	SODIUM(METHYL(PHENYL)AMINO)METHANESULFONATE	CHEMBL:CHEMBL1208361|CHEMBL:CHEMBL571598
3950	NSC-37136	CHEMBL:CHEMBL1370674|CHEMBL:CHEMBL1993323
3982	SODIUM BENZYL(METHYL)CARBAMODITHIOATE	CHEMBL:CHEMBL2010499|CHEMBL:CHEMBL2023726
3995	1-(aminomethyl)naphthalen-2-ol hydrochloride	CHEMBL:CHEMBL406341|CHEMBL:CHEMBL544173
4010	4-(4-chlorophenyl)-1,2,3,6-tetrahydropyridine hydrochloride	CHEMBL:CHEMBL101664|CHEMBL:CHEMBL2011566
4014	PHENCYCLIDINE	CAS:77-10-1|CHEBI:CHEBI:8058|CHEMBL:CHEMBL275528|CHEMBL:CHEMBL542581|DRUGBANK:DB03575|MESH:D010622|PUBCHEM:6468
4015	Naphthalen-1-ylacetic acid	CAS:86-87-3|CHEBI:CHEBI:32918|CHEMBL:CHEMBL3559962|CHEMBL:CHEMBL428495|DRUGBANK:DB01750|HMDB:HMDB0032708|PUBCHEM:6862
4035	2-NAPHTHYLACETIC ACID	CAS:581-96-4|CHEBI:CHEBI:37837|CHEMBL:CHEMBL323948|CHEMBL:CHEMBL948|PUBCHEM:11393
4050	2-Benzyl-Succinic Acid	CAS:884-33-3|CHEBI:CHEBI:16054|CHEBI:CHEBI:41241|CHEMBL:CHEMBL151284|CHEMBL:CHEMBL1741738|CHEMBL:CHEMBL259621|DRUGBANK:DB07506|HMDB:HMDB0142179|PUBCHEM:3858|PUBCHEM:444797
4060	PROPYLPARABEN	CAS:94-13-3|CHEBI:CHEBI:32063|CHEMBL:CHEMBL194014|CHEMBL:CHEMBL2107021|DRUGBANK:DB14177|HMDB:HMDB0032574|PUBCHEM:7175
4067	(S)-MCPG	CHEBI:CHEBI:43876|CHEMBL:CHEMBL1159884|CHEMBL:CHEMBL24238|CHEMBL:CHEMBL257626|CHEMBL:CHEMBL299683|DRUGBANK:DB04256|PUBCHEM:446355
4070	MEXILETINE	CAS:31828-71-4|CHEBI:CHEBI:6916|CHEMBL:CHEMBL1200606|CHEMBL:CHEMBL146855|CHEMBL:CHEMBL147507|DRUGBANK:DB00379|DRUGBANK:DB07129|HMDB:HMDB0014523|MESH:D008801|PUBCHEM:4178
4071	PIRFENIDONE	CAS:53179-13-8|CHEBI:CHEBI:32016|CHEMBL:CHEMBL1256391|DRUGBANK:DB04951|HMS-LINCS:11514|PUBCHEM:40632
4081	TILUDRONIC ACID	CAS:89987-06-4|CHEBI:CHEBI:9598|CHEMBL:CHEMBL1200448|CHEMBL:CHEMBL1350|DRUGBANK:DB01133|PUBCHEM:60937
4092	NSC-154983	CHEMBL:CHEMBL1969890|CHEMBL:CHEMBL227298
4103	Potassium 2-Morpholinoethylcarbamodithioate	CHEMBL:CHEMBL2023166|CHEMBL:CHEMBL2027945
4137	IMMETHRIDINE	CHEBI:CHEBI:92859|CHEMBL:CHEMBL1316355|CHEMBL:CHEMBL82298|PUBCHEM:9989505
4148	BETA-THUJAPLICINOL	CHEMBL:CHEMBL1324842|CHEMBL:CHEMBL550937
4159	2,2,4-trimethyl-1,2-dihydroquinoline hydrochloride	CHEMBL:CHEMBL1341097|CHEMBL:CHEMBL294154
4162	ICRF-193	CAS:21416-88-6|CHEBI:CHEBI:93771|CHEMBL:CHEMBL264684|HMS-LINCS:10259|LINCS:LSM-4280|PUBCHEM:115150|PUBCHEM:119081
4164	4-Acetimidoylamino-Benzoic Acid HCl	CHEMBL:CHEMBL1190283|CHEMBL:CHEMBL540555
4173	3-Nitrobenzoic Acid	CHEMBL:CHEMBL274839|CHEMBL:CHEMBL3181935
4179	TIOXOLONE	CAS:4991-65-5|CHEBI:CHEBI:568021|CHEMBL:CHEMBL442687|DRUGBANK:DB13343|HMS-LINCS:11884|PUBCHEM:72139
4185	4-Acetimidoylamino-Benzamide HCl	CHEMBL:CHEMBL1190285|CHEMBL:CHEMBL540558
4195	o-methylcorypalline	CHEMBL:CHEMBL1196025|CHEMBL:CHEMBL555787
4201	4-methyl-2-[2-(4-methylphenyl)diazen-1-yl]aniline	CHEMBL:CHEMBL1527992|CHEMBL:CHEMBL84005
4206	4-ethoxy-3-methoxyaniline	CHEMBL:CHEMBL1544076|CHEMBL:CHEMBL1624952
4218	EGLUMETAD	CHEMBL:CHEMBL2106523|CHEMBL:CHEMBL358200|CHEMBL:CHEMBL8759
4225	NSC-747260	CHEMBL:CHEMBL1198106|CHEMBL:CHEMBL1448592|CHEMBL:CHEMBL3134305|CHEMBL:CHEMBL3134307|CHEMBL:CHEMBL3188094|CHEMBL:CHEMBL595912
4230	ARACHIDONIC ACID	CAS:506-32-1|CHEBI:CHEBI:15843|CHEMBL:CHEMBL15594|CHEMBL:CHEMBL3274190|CHEMBL:CHEMBL7594|DRUGBANK:DB04557|HMDB:HMDB0001043|HMS-LINCS:12025|PUBCHEM:444899
4236	TOLAZOLINE	CAS:59-97-2|CAS:59-98-3|CHEBI:CHEBI:28502|CHEBI:CHEBI:9615|CHEMBL:CHEMBL1689|CHEMBL:CHEMBL770|DRUGBANK:DB00797|HMDB:HMDB0014935|MESH:D014043|PUBCHEM:5504|PUBCHEM:6048
4246	EPINEPHRINE	CAS:150-05-0|CAS:329-65-7|CAS:51-43-4|CHEBI:CHEBI:28918|CHEBI:CHEBI:33568|CHEBI:CHEBI:40751|CHEMBL:CHEMBL1200818|CHEMBL:CHEMBL1255663|CHEMBL:CHEMBL1256958|CHEMBL:CHEMBL1514721|CHEMBL:CHEMBL1740|CHEMBL:CHEMBL227634|CHEMBL:CHEMBL3183376|CHEMBL:CHEMBL3249321|CHEMBL:CHEMBL42280|DRUGBANK:DB00668|HMDB:HMDB0000068|HMDB:HMDB0062515|HMS-LINCS:11202|HMS-LINCS:11212|MESH:D004837|PUBCHEM:247704|PUBCHEM:24906312|PUBCHEM:838
